#{"t_start": 1770256118.5898097, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
3.0,30,97.136578,True
0.0,30,157.681592,False
0.0,30,213.022335,False
0.0,30,274.240071,False
0.0,30,326.011604,False
0.0,30,388.143327,False
0.0,30,455.568804,False
0.0,30,500.912743,False
0.0,30,564.458196,False
3.0,30,630.920021,True
0.0,30,690.118728,False
0.0,30,754.478137,False
0.0,30,808.522685,False
1.7,30,864.193304,True
0.0,30,923.589275,False
0.0,30,986.153299,False
0.0,30,1049.25018,False
0.0,30,1109.443697,False
0.0,30,1178.907128,False
0.0,30,1255.039295,False
0.6,30,1327.84721,False
0.0,30,1380.491946,False
0.0,30,1440.260487,False
0.0,30,1501.404919,False
0.0,30,1568.32033,False
0.0,30,1632.693073,False
2.4,30,1695.516259,True
1.5,30,1760.476894,True
0.0,30,1823.064575,False
0.0,30,1892.311689,False
0.0,30,1963.481995,False
0.0,30,2031.3312,False
1.6,30,2096.920872,True
0.0,30,2150.473937,False
3.0,30,2560.893364,True
0.0,30,2618.059362,False
0.0,30,2682.4416,False
2.7,30,2745.797571,True
0.0,30,2803.120669,False
0.0,30,2866.48971,False
0.0,30,2927.234123,False
0.0,30,2990.579222,False
0.0,30,3056.636977,False
0.0,30,3126.180041,False
0.0,30,3190.124971,False
0.0,30,3250.758374,False
0.0,30,3318.128548,False
2.9,30,3374.54167,True
1.9,30,3442.257771,True
0.0,30,3502.042108,False
0.0,30,3567.315682,False
2.7,30,3629.57959,True
0.8,30,3687.594748,True
2.7,30,3743.522769,True
2.2,30,3805.706113,True
0.0,30,3865.572391,False
2.1,30,3927.818032,True
0.0,30,3988.215936,False
0.0,30,4040.103935,False
1.6,30,4092.860658,True
3.0,30,4156.973149,True
2.1,30,4214.065883,True
0.0,30,4278.363379,False
0.0,30,4343.543697,False
0.0,30,4409.673986,False
2.7,30,4465.344278,True
0.0,30,4522.728755,False
0.0,30,4582.693329,False
0.0,30,5062.209501,False
0.0,30,5123.019529,False
0.0,30,5171.324932,False
0.0,30,5223.879359,False
0.0,30,5291.823061,False
3.0,30,5355.936192,True
0.0,30,5416.815479,False
0.0,30,5476.605339,False
0.0,30,5531.046219,False
0.0,30,5581.651126,False
1.8,30,5639.045599,True
2.9,30,5707.263687,True
0.0,30,5761.689118,False
0.0,30,5822.470079,False
0.0,30,5877.38073,False
0.0,30,5934.489976,False
0.0,30,5989.86172,False
0.0,30,6050.835967,False
0.0,30,6102.994371,False
0.0,30,6160.998215,False
0.0,30,6226.171536,False
0.0,30,6287.86107,False
0.0,30,6352.292574,False
0.0,30,6407.192825,False
0.0,30,6462.839739,False
2.7,30,6525.490746,True
0.0,30,6588.980597,False
0.0,30,6645.390595,False
0.0,30,6699.70347,False
0.0,30,6759.931326,False
0.0,30,6834.395128,False
0.0,30,6887.803306,False
0.0,30,6943.802218,False
2.3,30,7008.288925,True
0.0,30,7428.363831,False
0.0,30,7485.047957,False
0.0,30,7546.611768,False
0.6,30,7605.185108,True
0.0,30,7653.31583,False
2.9,30,7697.945036,True
0.8,30,7754.375569,True
0.0,30,7815.980126,False
0.0,30,7863.784192,False
0.0,30,7932.935202,False
2.1,30,7989.663569,True
0.0,30,8051.401898,False
0.0,30,8111.585141,False
0.0,30,8163.935425,False
0.0,30,8225.604657,False
0.0,30,8274.976813,False
0.0,30,8338.228079,False
3.0,30,8393.034473,True
0.0,30,8453.902285,False
2.6,30,8517.281711,True
0.0,30,8573.929206,False
2.0,30,8633.674291,True
0.0,30,8692.792792,False
0.0,30,8746.835318,False
0.3,30,8808.463386,True
0.0,30,8863.363894,False
0.0,30,8925.297538,False
0.0,30,8980.042645,False
