Logging to logs/lh_train_1_after
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.51     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.25     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.19     |
| adv_max                 | 3.81     |
| adv_min                 | -2.56    |
| aux_task_loss           | 1.79     |
| clipped_ratio           | 0.245    |
| cur2rec_max             | 2.81     |
| cur2rec_ratio           | 0.971    |
| cur_max_blocks          | 7        |
| entropy                 | 8.12     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 0.734    |
| eval_3_sr               | 0.375    |
| eval_5_sr               | 0        |
| eval_7_sr               | 0        |
| fps                     | 30       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.0122   |
| low_level_sr            | 0.311    |
| n_updates               | 0        |
| pi_grad_norm            | 6.08     |
| policy_loss             | 0.00018  |
| priority_max            | 0.718    |
| priority_mean           | 0.000832 |
| priority_std            | 0.00948  |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | nan      |
| serial_timesteps        | 0        |
| success_rate            | 0.29     |
| supervision_action_loss | nan      |
| time_elapsed            | 2.48e+03 |
| total_timesteps         | 65536    |
| value_loss              | 0.0365   |
| vf_grad_norm            | 4.96     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.51     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.25     |
| 5_success_rate          | nan      |
| 6_success_rate          | 0.11     |
| adv_max                 | 4.52     |
| adv_min                 | -3.19    |
| aux_task_loss           | 1.63     |
| clipped_ratio           | 0.198    |
| cur2rec_max             | 1.02     |
| cur2rec_ratio           | 0.992    |
| cur_max_blocks          | 7        |
| entropy                 | 8.72     |
| ep_len_mean             | 30       |
| ep_reward_mean          | 0.748    |
| eval_3_sr               | 0.398    |
| eval_5_sr               | 0        |
| eval_7_sr               | 0        |
| fps                     | 28       |
| hard_ratio              | 0.01     |
| kl_loss                 | 0.00282  |
| low_level_sr            | 0.366    |
| n_updates               | 1        |
| pi_grad_norm            | 6.77     |
| policy_loss             | -0.00183 |
| priority_max            | 0.685    |
| priority_mean           | 0.00157  |
| priority_std            | 0.0156   |
| rec2old_max             | 1        |
| rec2old_ratio           | 1        |
| restart_value_mean      | 1.98     |
| serial_timesteps        | 1024     |
| success_rate            | 0.32     |
| supervision_action_loss | nan      |
| time_elapsed            | 4.99e+03 |
| total_timesteps         | 131072   |
| value_loss              | 0.035    |
| vf_grad_norm            | 3.28     |
--------------------------------------
--------------------------------------
| 0_success_rate          | nan      |
| 1_success_rate          | nan      |
| 2_success_rate          | 0.48     |
| 3_success_rate          | nan      |
| 4_success_rate          | 0.28     |
| 5_success_rate          | nan      |
