#{"t_start": 1775616035.8016913, "env_id": "FetchBridgeBullet7Blocks-v1"}
r,l,t,is_success
0.0,30,6.624108,False
0.0,30,8.722661,False
0.0,30,10.733127,False
0.0,30,12.887787,False
0.0,30,15.006778,False
0.0,30,17.35624,False
0.0,30,19.645557,False
0.0,30,21.749796,False
0.0,30,23.704925,False
0.0,30,25.844634,False
0.0,30,28.088655,False
0.0,30,30.321954,False
0.0,30,32.652741,False
0.0,30,35.098542,False
0.0,30,37.046479,False
0.0,30,39.10551,False
0.0,30,41.381327,False
0.0,30,43.359156,False
0.0,30,45.464797,False
0.0,30,47.476277,False
0.0,30,49.58374,False
0.0,30,51.494706,False
0.0,30,53.455734,False
0.0,30,55.989924,False
0.0,30,58.061614,False
0.0,30,60.508911,False
0.0,30,62.935666,False
0.0,30,65.010194,False
0.0,30,67.065911,False
0.0,30,69.195744,False
